STATE,City,Area,Year,Month,Day,Pothole_Severity,Typeofvehicle,Causes,No_of_death,No_of_injured,No_of_accident,Accident_Severity
ANDHRA PRADESH,Anantapur,A Narayanapura,2016,Jan ,20,High,Car over speed and hit to road crossing Pedestrian,Tempo/Vans (Government),23,12,30,High
ANDHRA PRADESH,Kakkalapalle,Agaram,2016,Feb,2,High,Fault of other vehicle while crossing the road two wheeler car hit,Jeep (Government),25,20,31,High
ANDHRA PRADESH,Narayanapuram,Banasavadi,2016,Mar,1,Low,Two wheeler over speed and hit to two wheeler,Jeep (Private),5,1,10,Low
ANDHRA PRADESH,Papampeta,Basavanapura,2016,Apr,5,High,Fault of road crossing pedestrian,Car (Government),10,4,21,Medium
ANDHRA PRADESH,Yenumalapalle,Bellanduru,2016,May,6,High,Truck over speed and hit to Truck,Bicycle,38,23,40,High
ANDHRA PRADESH,Avilala,Benniganahalli,2016,Jun,4,Low,Truck over speed and Hit to the Two wheeler,Pedestrian,5,2,7,Low
ANDHRA PRADESH,Mangalam,Bharathi Nagar,2016,Jul,7,High,Two wheeler over speed and hit to Tractor,Total Jeep,10,24,23,Medium
ANDHRA PRADESH,Mangasamudram,BTM Layout,2016,Aug,23,Medium,Two wheeler over speed and hit to Two wheeler,Truck/Lorry (Government),12,21,20,High
ANDHRA PRADESH,Murakambattu,C V Raman Nagar,2016,Sep,21,Low,car over speed and hit to two wheeler,Bus (Government),15,2,3,Low
ANDHRA PRADESH,Perur,Chickpete,2016,Oct,12,Low,Car over speed self accident,Tempo/Vans (Government),20,22,23,High
ANDHRA PRADESH,Arempudi,Devasandra,2016,Nov,31,High,Two wheeler self accident Drunk & Drive,Jeep (Government),2,12,14,Medium
ANDHRA PRADESH,Chidiga,Dharmaraya Swamy Temple,2016,Dec,13,Medium,Car Hit to the Multi axle,Car (Government),19,34,40,High
ANDHRA PRADESH,Morampudi,Dodda Nekkundi,2016,Jan ,30,Medium,Bike,Three Wheeler,17,21,22,Medium
